Makeup_Type,Brand,Product_Name,Shade_Name,Skintone,Skintone_Category,Undertone,Images,,,Price
powder,Issy,True Flex Perfecting Powder,light/medium,light/medium,light/medium,,https://drive.google.com/file/d/16yAbOmoAvprwApoHSC1AC7qUSvrDVKCB/view?usp=sharing,,,499
powder,Issy,True Flex Perfecting Powder,medium/tan,medium/tan,"medium, dark",,https://drive.google.com/file/d/1XjxE4rNjvDGG5av2Lb1QYGEkPE0pnxA7/view?usp=sharing,,,499
powder,Issy,True Flex Perfecting Powder,tan/deep,tan/deep,dark,,https://drive.google.com/file/d/11KjDWPwPHNRKN4JLstNCFxJ0YooMFAtx/view?usp=sharing,,,499
skin balm,Issy,True Flex Skin Balm,Vanillé,fair light,light,warm,https://drive.google.com/file/d/108ikHuVWeEzE5HnAHRjr-VQWak0QYvQu/view?usp=sharing,,,599
skin balm,Issy,True Flex Skin Balm,Epsom,tan,dark,neutral,https://drive.google.com/file/d/1bQbsvVUouTkV8XfZHSthWIrZu5IBv1CC/view?usp=sharing,,,599
skin balm,Issy,True Flex Skin Balm,Bisque,fair light,light,neutral,https://drive.google.com/file/d/1I3stxljI4M5nlzgni9lvRKmW3eTF5wyC/view?usp=sharing,,,599
skin balm,Issy,True Flex Skin Balm,Sand,light medium,medium,warm,https://drive.google.com/file/d/1ZAwOwOZBIQ3bDgH-oZ_REIFpmN4h3wj5/view?usp=sharing,,,599
skin balm,Issy,True Flex Skin Balm,Saddle,deep,dark,neutral,https://drive.google.com/file/d/1QCEaLQB4OXedaxufjQrLUsHyVSlW7mo3/view?usp=sharing,,,599
skin tint,Issy,Active Skin Tint SPF 35,Vanillé,fair light,light,warm,https://drive.google.com/file/d/15zXg4x7um4RtFHQnr4_R1dGq7xW6D88q/view?usp=sharing,,,499
skin tint,Issy,Active Skin Tint SPF 38,Epsom,tan,dark,neutral,https://drive.google.com/file/d/1z99_innyNMco_nKhgSQJHStnNv2lSBFq/view?usp=sharing,,,499
skin tint,Issy,Active Skin Tint SPF 39,Bisque,fair light,light,neutral,https://drive.google.com/file/d/1oBZdsOqoeYoA-atYrvV7pT0yAeNPswpG/view?usp=sharing,,,499
skin tint,Issy,Active Skin Tint SPF 43,Sand,light medium,medium,warm,https://drive.google.com/file/d/1ENS6wW96A6g67scccPdmXj_OgmTryMrk/view?usp=sharing,,,499
skin tint,Issy,Active Skin Tint SPF 46,Saddle,deep,dark,neutral,https://drive.google.com/file/d/1mHJjSAKezUbyACOMPFM3-3yAxQ9jZl4I/view?usp=sharing,,,499
Powder,GRWM Cosmetics,Powder Rush - Loose Baking and Setting Powder,milky white,Light / Very Fair,light,"Neutral, Cool",https://drive.google.com/file/d/1iXJdshJySsh_3dHu-qic1aOTJmjzeeNo/view?usp=sharing,,,549
Powder,GRWM Cosmetics,Powder Rush - Loose Baking and Setting Powder,bright n' pink,Light,light,Cool,https://drive.google.com/file/d/1-0NIhJs_IydgXEJ0_q0GOW9OsBSlFAuq/view?usp=sharing,,,549
Powder,GRWM Cosmetics,Powder Rush - Loose Baking and Setting Powder,cream puff,Light to Medium,"light, medium","Warm , Neutral",https://drive.google.com/file/d/1p9D7iSJ_IDHps8s_aTSXuwKGMjCa2XHS/view?usp=sharing,,,549
Powder,GRWM Cosmetics,Powder Rush - Loose Baking and Setting Powder,brioche,Medium,medium,Warm,https://drive.google.com/file/d/1J7DgNb8cEJYbeKvbpzeggd6RUU3CfrMq/view?usp=sharing,,,549
Powder,GRWM Cosmetics,Powder Rush - Loose Baking and Setting Powder,magic ginger,Medium-Tan,medium,Warm (Golden/Red),https://drive.google.com/file/d/1V7vFR3_3fPfzUmcd1ONjEc3eiBqAybZR/view?usp=sharing,,,549
Powder,GRWM Cosmetics,Powder Rush - Loose Baking and Setting Powder,cold brew,Medium-Deep to Deep,dark,Neutral or Cool,https://drive.google.com/file/d/1DcLEKqTVs7W7fswNBxhX6By9ww97NIcc/view?usp=sharing,,,549
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Pearl,Fair,light,Warm,https://drive.google.com/file/d/1O6SptIomIxRQo5fpCoEYLLHjY0uouX0m/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Sand,Fair,ligh,Neutral,https://drive.google.com/file/d/1w8ggPqE3yuvqnb5Jy6h2NKaSBa0Ak61U/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Pebble,Fair,light,Cool,https://drive.google.com/file/d/1rLKCPfJLVhZ0Ja2yJezd_LxkWSTiMFpO/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Rose Biege,Light,light,Cool,https://drive.google.com/file/d/1o17mV5mKlnlrZfB7A7TYhi2CoksZ2mIt/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Natural,Light,light,Neutral,https://drive.google.com/file/d/1E4R4XfuAfO7MtqZt415dRQuQ1HNhCZJ3/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Limestone,Light,light,Warm,https://drive.google.com/file/d/12fMCyaQ-1XJThc30B1n7Ui_CEC6-RltO/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Custard,Medium,medium,Cool,https://drive.google.com/file/d/1jVudUYxIL5m_ta-fYzNlV45pE_Adbtp_/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Tres Leches,Medium,medium,Neural,https://drive.google.com/file/d/1MMu72EFvgaMHatVArjM7f_W0LenmsdFO/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Beige,Medium,medium,Warm,https://drive.google.com/file/d/1vklvcN2DgJVgqKyXHr1kL5Fb1ISV6-cC/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Sienna,Medium Tan,medium,Cool,https://drive.google.com/file/d/1FnjZzfxCfwZ1U0J5Qbh0ezC7XPEUpBTF/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Almond,Medium Tan,medium,Neutral,https://drive.google.com/file/d/1Lm1UfDA5qzOzD6MnxVORmsP9-4o7JfLb/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Macadamia,Medium Tan,medium,Warm,https://drive.google.com/file/d/1RukaO5UHmfkPDyWFCXro2GtGIZ-rzt7Y/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Umber,Tan to Deep,dark,Neutral,https://drive.google.com/file/d/1ck2dZqAX8Hy0R7qOoy_wOqivYt_ZIs5-/view?usp=sharing,,,399
concealer,GRWM Cosmetics,Radiance Tint Multiuse Base - Concealer,Desert,Tan to Deep,dark,Warm,https://drive.google.com/file/d/1kULVo8P7ic1Luf2jv4-J2CE4uTV3OuH-/view?usp=sharing,,,399
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Pearl,Fair,light,Neutral,https://drive.google.com/file/d/1CnsIvcheyh9-vnkIhbwe8gGvaqK8IMRD/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Oat,Fair,light,Cool,https://drive.google.com/file/d/1uUAfPz-SuYkZMJGJLuIeRYlwUo5ovLwy/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Buttermilk,Fair,light,Cool Pink,https://drive.google.com/file/d/1yM73sOOy2obkEZQ716F9_dEIZU3BG0XD/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Shell,Light Beige,light,Warm,https://drive.google.com/file/d/1cASKQfML3119uThxY8i5dQ2if_iV53IQ/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Buff,Light Beige,light,Neutral,https://drive.google.com/file/d/1zHPaQlwb7cca41LwkdoLB3uKNDq-q6Na/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Linen,Light Medium Beige,medium,Warm,https://drive.google.com/file/d/1_yHqsrKrUwekXxaCLYsjJS8MvsRyAz6i/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Cameo,Light Medium Beige,medium,Neutral,https://drive.google.com/file/d/1qr1WZ9Cd8VolHvUDypV4Nx5ZK8ilrt44/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Biscuit,Medium Beige,medium,Neutral-Warm,https://drive.google.com/file/d/1DBWAWsYz8OcLUTAT4N_XbNXmhIBe5wzd/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Nutmeg,Medium Beige,medium,Neutral,https://drive.google.com/file/d/1oh2k455-aJwdYpfQK5JGFydMlqbBV0QP/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Cinnamon,Tan Beige,dark,Neutral-Warm,https://drive.google.com/file/d/1LrRT2jPc6FSIQlVHzhzW7FvonEwjFGgm/view?usp=sharing,,,349-549
powder,GRWM Cosmetics,Powder Rush - Velvet Setting & Finishing Pressed Powder,Mocha,Tan Beige,dark,Warm,https://drive.google.com/file/d/1EbAL-qHbt0JfpKiAJ675gb8W4acN0QQ2/view?usp=sharing,,,349-549
