Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,,,Price
cream bronzer,Issy,Creme Cheek Bronzer,Blaze,A Deep Sienna Bronze,natural,Warm,,https://drive.google.com/file/d/1ujL2og9QnLsOwyqEpfpatoXoQLA_0sbL/view?usp=drive_link,,,,,,,,,349
powder bronzer,Issy,Powder Bronzer Insert,Pyre,A Light Tender Warmth,natural,Warm,,https://drive.google.com/file/d/1IBKGza4I7hUNycbk5M3u81l9E7XkZfQT/view?usp=drive_link,,,,,,,,,249
powder bronzer,Issy,Powder Bronzer Insert,Torch,A Medium Neutral Warmth,natural,Neutral,,https://drive.google.com/file/d/1Jv9GKrb0orxGwMc5Z1FHfJcohkrPOyp1/view?usp=drive_link,,,,,,,,,249
powder bronzer,Issy,Powder Bronzer Insert,Ember,A Deep Fiery Warmth,natural,Warm,,https://drive.google.com/file/d/1vKURbIUeUs990XDLn9AGE7o-iEigkm4O/view?usp=drive_link,,,,,,,,,249
powder highlighter,Issy,Powder Highlighter Insert,Blonde,A Frosty Champagne,Shimmer,"Cool, Neutral",,https://drive.google.com/file/d/1Vw2KxfY1xsUuDk2-2kVhDZqc1TbxFBmv/view?usp=drive_link,,,,,,,,,199
powder highlighter,Issy,Powder Highlighter Insert,Trophy,A Warm Golden Peach,Shimmer,Warm,,https://drive.google.com/file/d/18ht1buM4w6gPUK3isyrAX0hm3VDi_rJz/view?usp=drive_link,,,,,,,,,199
powder highlighter,Issy,Powder Highlighter Insert,Starlet,A Cool Rose Gold,Shimmer,Cool,,https://drive.google.com/file/d/1G-d0p81PMNE8tFpCvI5w7Mf9a9UDs12R/view?usp=drive_link,,,,,,,,,199
powder contour,Issy,Powder Contour Insert,Haze,A Light Neutral Shadow,natural,Neutral,,https://drive.google.com/file/d/1ypBW5GVjrZ4iJgxLQ23ACix68Iqk0lc7/view?usp=drive_link,,,,,,,,,199
powder contour,Issy,Powder Contour Insert,Storm,A Medium Neutral Shadow,natural,Neutral,,https://drive.google.com/file/d/1TYfhvZm2qijJ7xfLLaMpTrJfF3NObNeR/view?usp=drive_link,,,,,,,,,199
powder contour,Issy,Powder Contour Insert,Eclipse,A Deep Neutral Shadow,natural,Neutral,,https://drive.google.com/file/d/1-wJyKqTWM60Vw1_ql5VZDwwM8B4IudT3/view?usp=drive_link,,,,,,,,,199
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,macaron,dark medium pink with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1TKW-1JEr_0FhviyliEa_hdLCT8_4i1-Q/view?usp=drive_link,,,,,,,,,379
