Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,Price
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Lace,neautral medium pink,velvet matte,Neutral,,https://drive.google.com/file/d/1QL6tgQWzzTylb0CePyXvEa-779BQlYw3/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Veil,flat white,velvet matte,Neutral,,https://drive.google.com/file/d/1f8U6qi60zX9qBYm5ntX-Y8gJz0Vms59o/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,RSVP,cool deep peach,velvet matte,Cool,,https://drive.google.com/file/d/1-Rqkr87TNT-hUErg18yc7o2GxRbLKDJM/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Masque,cool dark brown,velvet matte,Cool,,https://drive.google.com/file/d/1nPtQTUHlP0YORXKLnXXuDBwaIN-70dCe/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Bouquet,dusty lilac,velvet matte,Cool,,https://drive.google.com/file/d/1fv0mZnJ8mTsOJCe_L1CeFypgsqjwRjwe/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Invitation,cool medium brown,velvet matte,Cool,,https://drive.google.com/file/d/1OxUFzey2NTJ5KtTDtOBVgME3lGC6cy4m/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Promise,dusty medium peach,velvet matte,Warm,,https://drive.google.com/file/d/12WafJtI1VgQM0StwhpmgL6ZPBrmRKdZA/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Forever,brownish orange,velvet matte,Warm,,https://drive.google.com/file/d/18BW5yhp7pgrAnr7mrwWeSMSyF0IGvHVG/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Charade,brown beige,velvet matte,Neutral,,https://drive.google.com/file/d/1LwQlzF7o7pnyKn-dJzUPFXowrCNJuyfm/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Party,wam chocolate brown,velvet matte,Warm,,https://drive.google.com/file/d/1sp7WrIhjD24LRT2I_OmGtP8wSt0PBSkH/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Mood,cool ivory white,velvet matte,Cool,,https://drive.google.com/file/d/1cjaMg85zuQxYctm-e9m9FdEYHFER-CS3/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Serenade,cool light apricot,velvet matte,Cool,,https://drive.google.com/file/d/1BnM515F8uBgbOkt951gYA6LftPTh91_E/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Tux,pitch black,velvet matte,Neutral,,https://drive.google.com/file/d/18JRxKNM8GePtOruYyD0elseEzhq5Gp-3/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Bow,cool deep brown,velvet matte,Cool,,https://drive.google.com/file/d/1aLJ2Du66CzpkRJ3ibLv-50LTfWInBZqI/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Date,warm medium peach,velvet matte,Warm,,https://drive.google.com/file/d/1ZBYsLoN-dDmjrZVFWlAj-nbFaDnxLTiK/view?usp=drive_link,,,,,,,149
